schedule_detail_id,content_tape_detail_id,content_tape_id,segment_no,tape_duration_sec,break_sec,promo_sec
70312,22705.0,6694.0,8.0,692.96,0.0,0
70312,22706.0,6694.0,9.0,551.96,420.0,0
70312,22707.0,6694.0,10.0,575.96,259.0,0
70312,22708.0,6694.0,11.0,670.96,0.0,0
70312,22709.0,6694.0,12.0,534.96,259.0,0
70319,14965.0,4429.0,1.0,676.36,0.0,0
70319,14966.0,4429.0,2.0,699.76,371.0,0
70319,14967.0,4429.0,3.0,717.4,371.0,0
70319,14968.0,4429.0,4.0,651.24,0.0,0
70319,14969.0,4429.0,5.0,677.8,0.0,0
70319,14970.0,4429.0,6.0,672.68,420.0,0
70319,14971.0,4429.0,7.0,723.28,420.0,0
70319,14972.0,4429.0,8.0,688.32,0.0,0
70319,14973.0,4429.0,9.0,686.16,420.0,0
70319,14974.0,4429.0,10.0,669.28,0.0,0
70319,14975.0,4429.0,11.0,616.84,420.0,0
70319,14976.0,4429.0,12.0,665.12,0.0,0
70319,14977.0,4429.0,13.0,526.48,224.0,0
70313,33756.0,10890.0,1.0,689.0,182.0,0
70313,33757.0,10890.0,2.0,686.0,420.0,0
70313,33758.0,10890.0,3.0,664.0,420.0,0
70313,33759.0,10890.0,4.0,664.0,0.0,0
70313,33760.0,10890.0,5.0,680.0,0.0,0
70313,33761.0,10890.0,6.0,698.0,0.0,0
70313,33762.0,10890.0,7.0,644.0,420.0,0
70313,33763.0,10890.0,8.0,773.0,0.0,0
70313,33764.0,10890.0,9.0,403.0,420.0,0
70313,33765.0,10890.0,10.0,910.0,210.0,0
70314,25578.0,7658.0,1.0,837.2,315.0,0
70314,25579.0,7658.0,2.0,810.36,315.0,0
70314,25580.0,7658.0,3.0,826.2,420.0,0
70314,25581.0,7658.0,4.0,771.32,420.0,0
70314,25582.0,7658.0,5.0,742.0,0.0,0
70314,25583.0,7658.0,6.0,801.92,420.0,0
70314,25584.0,7658.0,1.0,772.32,420.0,0
70314,25585.0,7658.0,2.0,883.2,0.0,0
70314,25586.0,7658.0,3.0,729.08,0.0,0
70314,25587.0,7658.0,4.0,597.56,56.0,0
70315,34119.0,11037.0,1.0,708.96,0.0,0
70315,34120.0,11037.0,2.0,641.96,392.0,0
70315,34121.0,11037.0,3.0,689.96,392.0,0
70315,34122.0,11037.0,4.0,670.96,420.0,0
70315,34123.0,11037.0,5.0,694.96,420.0,0
70315,34124.0,11037.0,6.0,735.96,0.0,0
70315,34125.0,11037.0,7.0,809.96,0.0,0
70315,34126.0,11037.0,8.0,860.96,293.99999999999994,0
70315,34127.0,11037.0,9.0,777.96,0.0,0
70315,34128.0,11037.0,10.0,666.96,293.99999999999994,0
70316,40025.0,12654.0,1.0,789.4,252.0,0
70316,40026.0,12654.0,2.0,741.0,420.0,0
70316,40027.0,12654.0,3.0,823.0,420.0,0
70316,40028.0,12654.0,4.0,888.24,0.0,0
70316,40035.0,12654.0,4.0,976.0,0.0,0
70316,40033.0,12654.0,2.0,807.76,420.0,0
70316,40034.0,12654.0,3.0,810.92,420.0,0
70316,40029.0,12654.0,5.0,793.32,0.0,0
70316,40030.0,12654.0,6.0,722.0,0.0,0
70316,40031.0,12654.0,7.0,697.08,420.0,0
70316,40032.0,12654.0,1.0,874.12,420.0,0
70316,40036.0,12654.0,5.0,832.28,196.0,0
70317,7132.0,2035.0,4.0,750.0,322.0,0
70317,7133.0,2035.0,5.0,755.0,322.0,0
70317,7134.0,2035.0,6.0,695.0,0.0,0
