content_tape_id,segment_no,tape_duration_sec,break_sec,promo_sec
12646.0,7.0,589.0,0.0,0
12646.0,8.0,544.0,343.0,0
12646.0,9.0,722.0,0.0,0
12646.0,10.0,706.0,0.0,0
12646.0,11.0,306.0,343.0,0
15913.0,1.0,1016.0,420.0,0
15913.0,2.0,1131.0,0.0,0
15913.0,3.0,828.0,420.0,0
15913.0,4.0,1327.0,0.0,0
15913.0,5.0,729.0,420.0,0
15913.0,6.0,432.0,420.0,0
15913.0,11.0,811.0,0.0,0
15913.0,7.0,399.0,406.0,0
15913.0,8.0,773.0,0.0,0
15913.0,9.0,773.0,154.0,0
15913.0,10.0,467.0,406.0,0
8885.0,1.0,664.96,420.0,0
8885.0,2.0,740.96,0.0,0
8885.0,3.0,798.96,420.0,0
8885.0,4.0,746.96,0.0,0
8885.0,5.0,623.96,0.0,0
8885.0,6.0,774.96,420.0,0
8885.0,7.0,712.96,420.0,0
8885.0,8.0,756.96,0.0,0
8885.0,9.0,801.96,0.0,0
8885.0,10.0,640.96,420.0,0
8885.0,11.0,766.96,420.0,0
8885.0,12.0,794.96,139.99999999999997,0
13342.0,1.0,883.0,0.0,0
13342.0,2.0,716.0,420.0,0
13342.0,3.0,699.0,420.0,0
13342.0,4.0,771.0,420.0,0
13342.0,5.0,552.0,0.0,0
13342.0,6.0,512.0,0.0,0
13342.0,7.0,606.0,420.0,0
13342.0,8.0,682.0,0.0,0
13342.0,9.0,790.0,161.0,0
13342.0,10.0,382.0,161.0,0
13374.0,1.0,849.0,259.0,0
13374.0,2.0,782.0,259.0,0
13374.0,3.0,832.0,0.0,0
13374.0,4.0,618.0,0.0,0
13374.0,5.0,601.0,420.0,0
13374.0,6.0,547.0,420.0,0
13374.0,7.0,696.0,168.00000000000003,0
13374.0,8.0,657.0,168.00000000000003,0
7658.0,1.0,837.2,371.0,0
7658.0,2.0,810.36,371.0,0
7658.0,3.0,826.2,0.0,0
7658.0,4.0,771.32,0.0,0
7658.0,5.0,742.0,420.0,0
7658.0,6.0,801.92,420.0,0
7658.0,1.0,772.32,0.0,0
7658.0,2.0,883.2,392.0,0
7658.0,3.0,729.08,392.0,0
7658.0,4.0,597.56,0.0,0
10912.0,1.0,622.0,364.0,0
10912.0,2.0,688.0,0.0,0
10912.0,3.0,763.0,364.0,0
10912.0,4.0,701.0,420.0,0
10912.0,5.0,941.0,420.0,0
10912.0,6.0,612.0,0.0,0
10912.0,7.0,575.0,0.0,0
10912.0,8.0,601.0,112.0,0
16546.0,1.0,680.68,364.0,0
16546.0,2.0,634.72,364.0,0
16546.0,3.0,710.68,0.0,0
16546.0,4.0,670.04,420.0,0
16546.0,5.0,685.48,420.0,0
16546.0,6.0,709.24,0.0,0
16546.0,7.0,711.32,0.0,0
16546.0,8.0,677.96,420.0,0
16546.0,9.0,682.96,0.0,0
16546.0,10.0,868.84,0.0,0
